name,url,auther,publisher,date,price,rate,rates_num,comments
追风筝的人,https://book.douban.com/subject/1770782/,[美] 卡勒德·胡赛尼,上海人民出版社,2006-5,29.00元,['8.9'],564752,为你，千千万万遍
解忧杂货店,https://book.douban.com/subject/25862578/,[日] 东野圭吾,南海出版公司,2014-5,39.50元,['8.5'],563252,一碗精心熬制的东野牌鸡汤，拒绝很难
小王子,https://book.douban.com/subject/1084336/,[法] 圣埃克苏佩里,人民文学出版社,2003-8,22.00元,['9.0'],486513,献给长成了大人的孩子们
白夜行,https://book.douban.com/subject/3259440/,[日] 东野圭吾,南海出版公司,2008-9,29.80元,['9.1'],421432,暗夜独行的残破灵魂，爱与恶本就难分难舍
活着,https://book.douban.com/subject/4913064/,余华,作家出版社,2012-8-1,20.00元,['9.4'],367023,生的苦难与伟大
嫌疑人X的献身,https://book.douban.com/subject/3211779/,[日] 东野圭吾,南海出版公司,2008-9,28.00,['8.9'],351904,数学好是一种极致的浪漫
三体,https://book.douban.com/subject/2567698/,刘慈欣,重庆出版社,2008-1,23.00,['8.8'],335245,你我不过都是虫子
围城,https://book.douban.com/subject/1008145/,钱锺书,人民文学出版社,1991-2,19.00,['8.9'],328328,对于“人艰不拆”四个字最彻底的违抗
挪威的森林,https://book.douban.com/subject/1046265/,[日] 村上春树,上海译文出版社,2001-2,18.80元,['8.0'],299019,村上之发轫，多少人的青春启蒙
红楼梦,https://book.douban.com/subject/1007305/,[清] 曹雪芹 著,人民文学出版社,1996-12,59.70元,['9.6'],238455,谁解其中味？
百年孤独,https://book.douban.com/subject/6082808/,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2011-6,39.50元,['9.2'],244750,尼采所谓的永劫复归，一场无始无终的梦魇
看见,https://book.douban.com/subject/20427187/,柴静,广西师范大学出版社,2013-1-1,39.80元,['8.8'],239662,在这里看见中国
平凡的世界（全三部）,https://book.douban.com/subject/1200840/,路遥,人民文学出版社,2005-1,64.00元,['9.0'],213436,中国当代城乡生活全景
三体Ⅱ,https://book.douban.com/subject/3066477/,刘慈欣,重庆出版社,2008-5,32.00,['9.3'],199659,无边的黑暗森林，比第一部更为恢弘壮丽
三体Ⅲ,https://book.douban.com/subject/5363767/,刘慈欣,重庆出版社,2010-11,38.00元,['9.2'],193869,终章，何去何从
我们仨,https://book.douban.com/subject/1023045/,杨绛,生活·读书·新知三联书店,2003-7,18.80元,['8.7'],201116,平淡，坚忍，温情
天才在左 疯子在右,https://book.douban.com/subject/4242172/,高铭,武汉大学出版社,2010-2,29.80元,['8.1'],209071,简称“疯癫与文明”
达·芬奇密码,https://book.douban.com/subject/1040771/,[美] 丹·布朗,上海人民出版社,2004-2,28.00元,['8.2'],196085,一切畅销的因素都有了
不能承受的生命之轻,https://book.douban.com/subject/1017143/,[捷克] 米兰·昆德拉,上海译文出版社,2003-7,23.00元,['8.5'],190888,朝向媚俗的一次伟大的进军
撒哈拉的故事,https://book.douban.com/subject/1361264/,三毛,皇冠出版社,1976,160 TWD,['9.0'],165737,关于漂泊的一切
明朝那些事儿（壹）,https://book.douban.com/subject/1873231/,当年明月,中国友谊出版公司,2006-9,24.80,['8.7'],169121,历史本就是一件件“事儿”拼成的
哈利·波特与魔法石,https://book.douban.com/subject/1041007/,[英] J. K. 罗琳,人民文学出版社,2000-9,19.50元,['9.1'],158068,羽加迪姆勒维奥萨！
许三观卖血记,https://book.douban.com/subject/1029791/,余华,南海出版公司,1998-9,16.80元,['8.8'],160749,余华的悲凉，都在那一碗炒猪肝里了
简爱（英文全本）,https://book.douban.com/subject/1141406/,[英] 夏洛蒂·勃朗特,世界图书出版公司,2003-11,18.00元,['8.5'],171078,灰姑娘在十九世纪
傲慢与偏见,https://book.douban.com/subject/1083428/,[英] 奥斯丁,人民文学出版社,1993-7,13.00元,['8.8'],162605,所有现代言情小说的母体
恶意,https://book.douban.com/subject/3646172/,[日] 东野圭吾,南海出版公司,2009-6,18.00,['8.4'],166942,无缘由的恨，冰冷彻骨
目送,https://book.douban.com/subject/3995526/,龙应台,生活·读书·新知三联书店,2009-10,39.00元,['8.6'],164546,不必追
人间失格,https://book.douban.com/subject/4011670/,太宰治,吉林出版集团有限责任公司,2009-9,16.00元,['8.3'],161919,令人无从怜悯的绝望
边城,https://book.douban.com/subject/1057244/,沈从文,北岳文艺出版社,2002-4,12.00元,['8.6'],153787,如水一般的忧愁与怅惘
霍乱时期的爱情,https://book.douban.com/subject/10594787/,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2012-9-1,39.50元,['9.0'],145338,义无反顾地直达爱情的核心
飘,https://book.douban.com/subject/1068920/,[美国] 玛格丽特·米切尔,译林出版社,2000-9,40.00元,['9.3'],133819,革命时期的爱情，随风而逝
盗墓笔记,https://book.douban.com/subject/1948901/,南派三叔,中国友谊出版公司,2007-1,26.80元,['8.3'],146679,想象奇诡的大型RPG游戏
窗边的小豆豆,https://book.douban.com/subject/1007914/,[日] 黑柳彻子 著,南海出版公司,2003-1,20.00元,['8.7'],131933,真正懂孩子的教育经
倾城之恋,https://book.douban.com/subject/1090043/,花城出版社,花城出版社,1997-3-1,11.00,['8.5'],138454,一段姻缘，需要一座城的倾覆来成全
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,林奕含,北京联合出版公司,2018-1,45.00元,['9.2'],123786,以血书写的文学
老人与海,https://book.douban.com/subject/1064275/,海明威,上海译文出版社,1999-10,8.20元,['8.4'],134588,正是悲壮赋予生活以意义
狼图腾,https://book.douban.com/subject/1022060/,姜戎,长江文艺出版社,2004-4,32.00元,['8.2'],136759,我们都是 狼的传人？
哈利·波特与阿兹卡班的囚徒,https://book.douban.com/subject/1071241/,[英] J. K. 罗琳,人民文学出版社,2000-9,26.50元,['9.0'],123736,小天狼星布莱克
鲁滨逊漂流记,https://book.douban.com/subject/1016003/,[英] 笛福,广西民族出版社,2002-1,9.20元,['8.1'],135721,最早的荒野求生
哈利·波特与火焰杯,https://book.douban.com/subject/1009257/,[英] J. K. 罗琳,人民文学出版社,2001-5,39.80元,['9.0'],118312,整个系列的分水岭，暗色渐浓
