,text
0,以前也关注李开复等大V，认为国家多一些批评的声音也很好，美式民主也不错！但2011年723动车事故是个转折点，我惊愕的发现国内外反华势力组织巨大力量攻击诋毁中国高铁，煽情的表演悲情，愚弄民众；香港台湾现在也一样，汉奸小丑民粹横行；这些反面教材唤醒了很多国人！反华势力你们真是弄巧成拙了！
1,回复@icomeingoole:我就看不起你这种瞎bb的人，懂？我的话不需要你来指点，懂？！
2,回复@2012ZGZYY:我就爱瞎B B，比起你这种墙头草好不止一万倍。懂？！
3,中国贪腐偷工减料的事情太多了，希望这个飞机质量棒棒的，别费掉设计人的心血
4,回复@马踏黄河两岸_人称小孟尝:呵呵 跟你说品牌 你偏要说工业
5,回复@Lucien从大宋来:谁告诉你的？。。。。就举例一个。中国的光伏产业链，各个环节第一名企业都是中国企业。。。。。你以为中国庞大的gdp就靠山寨货撑起来？。。。
6,回复@icomeingoole:你不是市井小民吗？也敢大胆对别人指手画脚？你有什么资本？你做得很好了？而且你给了什么有建设性的话吗？就知道瞎bb。说的话比屎还臭。
7,回复@2012ZGZYY:悲哀的是你这种自我感觉良好的人，不批评哪来进步？中国特色造成你这样的“特色”人。
8,大家不要担心发动机问题，中国喷子的嘴堪比核动力。中国没有自制飞机你们BB国力弱，中国有了自制飞机你们BB谁敢坐。求你们了赶紧追星去撒。
9,回复@icomeingoole:哎，那我只能说中国的悲哀就是你这种人太多。我伪高大上犯着你了么？需要你来评价一下？
10,回复@2012ZGZYY:对，我只是市井小民，沒你那么伪高大上的情操。
11,回复@icomeingoole:起码比你好点，你为社会创造了什么价值？就敢在这质疑我。说句不好听的你还没那资格。整天叫得最厉害的就是你这种人，自己啥事没做就知道抱怨制度，抱怨社会。有什么用吗？我建议你还是少发牢骚多做事。
12,回复@2012ZGZYY:洗脑教育就是好，洗出你这样的精英！
13,回复@icomeingoole:我就呵呵了，不知道是谁无聊到来评论我。我让你评了吗？自己没良心还质疑在中国就没有讲良心的。不知道你受的教育到哪儿去了。以为我有闲工夫跟你这瞎扯？自己找上门来找骂，现在倒说我无聊了。不知道谁无聊。。。
14,回复@2012ZGZYY:到底谁幼稚？这么有时间回复无聊的事情，也足见到你是一副什么嘴脸，人民会记住你们的。呵呵。
15,回复@_______________________小马甲:然而现在政府新采购车辆八成都是国产品牌，省部级已逐步换成红旗H7
16,评论里的五毛也是醉了，调侃说让领导先坐没有错，就拿公车来说，自己去看看各大政府机关部门里面用的是国产车还是国外车？你政府花纳税人的钱都不支持国产，凭什么让挣血汗钱缴税的老百姓支持…你政府都各种用国产设备了才有脸号召别人好么？
17,回复@马踏黄河两岸_人称小孟尝:英法德手机不怎么样，但是在汽车 飞机 发动机    首饰 香水 服装领域都有顶尖品牌。我们国家呢，什么都做，但是什么都不精，没一个拿的出手
18,回复@Lucien从大宋来:那跟法国手机比，德国英国手机比，你看怎么样？。。？英法德应该是发达国家了吧？。。。你会不会太苛刻了？样样都要跟别人的长处比。。。请问你制造了什么品牌？。。。你创立了什么品牌？你是否有资格谈这些？？事实上，你什么都没有做。你创造了喷的品牌
19,回复@事故华中主民:说的太对了！
20,回复@来自巴厘岛的松文以马内利:靠低价位来吸引订单，靠低价机票来吸引乘客，牺牲了安全可靠性，未来降低事故发生率是个严重的课题。
21,真受不了五毛党 这么支持国产组团去坐啊 反正我不敢坐 国产哪个东西是好的
22,话说iphone还是中国制造呢
23,#一瓢冷水#其实上个世纪八十年代中国就造了架属于自己的大飞机——运10，后被老美耍诈给弄下马了。组装下线其实才是万里长征第一步，相比而言最难的是试飞到投入运营，以及各类核心技术的国产消化，这条路还很长、很长、很长。。。。。。看清楚现实吧！加油吧！！！
24,之前要求@头条新闻 给黄安道歉，tmd竟然删我的评论，删我评论是我儿！大家顶起来～～～～
25,之前要求@头条新闻 给黄安道歉，tmd竟然删我的评论，删我评论是我儿！大家顶起来～～～～～
26,关于自主研发的C919：发动机-GE；辅助动力APU-美国霍尼韦尔；发动机反推-法国埃塞；飞行控制系统-美国派克宇航；气象雷达-美国柯林斯；电源系统-美国霍尼韦尔；驾驶舱控制与仪表照明-美国伊顿；燃油系统-美国派克宇航；飞行记录仪-GE；防火检测系统-英国凯德...路还很长。。。。
27,#渔樵说事# 关于自主研发的C919：发动机-GE；辅助动力APU-美国霍尼韦尔；发动机反推-法国埃塞；飞行控制系统-美国派克宇航；气象雷达-美国柯林斯；电源系统-美国霍尼韦尔；驾驶舱控制与仪表照明-美国伊顿；燃油系统-美国派克宇航；飞行记录仪-GE；防火检测系统-英国凯德……路还很长。。。
28,回复@听述:牛逼
29,回复@马犬儒cynic:通用
30,回复@听述:除了这么干，也没有更好的方法哎好像。发动机用的哪家的？
31,@银河加农炮
32,回复@FoxZhangJX:空客320天津组装，坐吗？在开喷之前请看看空客波音全球零部件采购清单再说
33,还是请领导先坐吧 我们屁民坐坐波音空客挺好
34,有好多人说话怎么那么刻薄刁钻呢？你们是阻挡不了中国前进的步伐的！
35,合着天朝一直没有自己的灰鸡啊
36,國家領導請上座[飛機]
37,敢订敢坐的我敬你是条汉子！
38,以后建议看清航班的机型再考虑去要不要飞。
39,再坐飞机务必关注飞机型号
40,不是很看好
41,祝福中国，万岁
42,先让领导们飞几圈
43,@忧伤的拾荒者: 发动机都不是自己的，也敢说是国产，哪里是品牌机？分明是组装机，@C919
44,回复@FoxZhangJX:然后马航法航荷航埃航等默默欢迎你
45,我昨天刚在京东买的配件……装成以后就准备起名C920 以下是配置单 处理器: intel i5 -4590  散热器：玄冰300+LED风扇蓝色*1 主 板：华硕B85 -F PLUS 显 卡：翔升GTX 960 天网 4G D5 内 存：宇帷8g动感呼吸灯条 硬 盘：宇帷256G 机 箱：撒哈拉G5  电 源：鑫谷战舰s7
46,回复@zhaobolong:哈哈哈哈哈
47,那些说敢坐的是什么心态啊。中国宇宙飞船都上去辣么多次了，造个靠谱点的大飞机还能造不出来么
48,我是国产的，支持国产！！！中国加油！！
49,领导人终于有自己的空军一号了！
50,端起碗吃饭 放下碗骂娘 喷子你们怎么还没移民到美帝跪舔你们的美爹啊 待在中国喷喷喷你们堵我们更堵的慌啊
51,回复@Hola海:丢，你这话就不对了
52,全世界只有英美两国可以制造顶级航用发动机，不晓得其他200多个国家的是不是都像我们国家有些人一样扭着发动机是不是国产这个问题不放。
53,我坐
