,text
0,舟山群岛要为波音组装生产线。这不一样的道理嘛.中国已经组装过很多大飞机了.不值得激动
1,@我有我生活0 有种别拉黑啊！以为和你一样，端起碗吃饭，放下碗骂娘，忘恩负义！心浮气躁，心虚狭隘，怎么“解决”国内问题啊，出了个国回来就觉得自己高大上了，就嫌弃过去的穷地方了，就有大能力解决国内问题了！要是海归们都是你这样的，那国家要完！至少我将来回来的时候不会和你一样！
2,@我有我生活0 强在我回国后会尽自己所能为国贡献，不会夸大自己的能力，也不嘲笑祖国暂时的落后。如何结合国内目前的实际情况解决好国内问题才是牛逼的人！我有多少力尽多少力！强在这里！
3,回复@我有我生活0:比你强哦！
4,"回复@小咸-咸咸说:嘿嘿,不知道谁那么不知羞耻,连国藉都不敢亮出来,还挂个海外,我呸,老子到那里都是挂中国广州."
5,回复@我有我生活0:国籍中国，人在海外留学。
6,回复@我有我生活0:嘴炮满分，才华没多少，原来也是一届屁民而已，装B装漏了不是，你也就键盘比别人的贵一点罢了！
7,"回复@小咸-咸咸说:滚吧,就你这样一个到外面当乞儿的贪官儿女,你知道你的父母其实在国内象狗一样舔着他们的上司不?"
8,回复@我有我生活0:事实是你不断强调中国的不如海外，给人灌输的就是海外高人一等啊！你自己说自己是“回来”解决国内问题的啊！
9,"回复@小咸-咸咸说:我问你的问题,你回答了几个?滚吧,别以为挂个海外就高人一等,我从来没写过我在那"
10,回复@我有我生活0:欧，那也比不上你母亲卖身供你出国留学，到头来忘恩负义要好啊！
11,回复@我有我生活0:哦，辩不过别人就是乞儿，和你观点不一就是贪官的儿女，乱扣帽子的本事是海外学来的吗？国外名牌大学就教会你这些？看到这里大家都已经明白你他娘的到底是个什么样的“人才”了！
12,回复@我有我生活0:都是一届屁民，装什么大尾巴狼！
13,回复@小咸-咸咸说:别装，我是回来处理国内事务的，别以为我不知道外面的世界怎样。
14,回复@我有我生活0:你有真才实学么就敢吹嘘自己回来处理国内问题，什么头衔什么水平亮出来给大家看看，有什么证书有什么文凭，哪所全球知名大学毕业，什么学位，有多少从世经验，解决过多少国际问题，处理了哪个国家哪个地区哪个企业的哪些经济问题，有什么知名著作、知名度，受到多少人认可……，都一一晒出来啊！你敢吗
15,回复@我有我生活0:你不是知道吗？拿出数据拿出证据来说给大家看啊！说别人装B之前，自己得拿的出干货来啊！
16,回复@小咸-咸咸说:有本事，你告诉我：那个车型什么价格只是贵少少？
17,回复@我有我生活0:我吃“爷”饭穿“爷”衣做人，你吃“主”粮领“主”钱做狗，谁有资格谈，谁配配和谁谈，一目了然！
18,回复@小咸-咸咸说:就你一个吃爷饭穿爷衣的，也配来讲这些东西，你眼瞎了。
19,回复@我有我生活0:自己造不出来怎么办？只有向别人学，只有和人合作，去买别人的技术，去捡别人的现成摸索创造！这个时代了还想全部埋头自己造，那是死路一条！你们口中是“抄袭”，可我学会了以后强大起来的是自己！还有脸喷市场换技术“不要脸”！不想法子拥有技术，外国公司一停售一抬高价格，看你怎么办！
20,回复@诗词苑:在这些采购过程中，还是人家波音公司输出生产工艺，生产技术等，这就是我们引以为傲的所谓市场换技术。之后扩展到机头机舱等等，所以，我们到现在也只学会了机身的制造。这个所谓的进步，是挟天子以令诸侯（即以行政的方式挟持所有的乘客来要挟波音）所得，要脸不？
21,回复@我有我生活0:所谓的进步，呵呵，你是有多圣母才会来喷“市场换技术”不要脸啊！有了技术就不怕别人停售的威胁，再买别人东西时就有了和别人讨价还价的筹码。有了技术就能自己造产品拿出去卖与人竞争。强大的是自己的实力与能力。如此执着于获取技术的手段如何“不要脸”，真如宋襄公般“仁义”！
22,回复@我有我生活0:当中国没能力自己造出来的时候，你们喷：中国没有自主研发能力，中国不行、垃圾！但中国想方法引进技术并消化吸收后，你们又来：抄袭，不要脸！呵呵，只抄答案和弄懂了这一类题的解题技巧，能一样？
